No_Pelajar,Kod_Kursus_Pelajar,Semester_Pelajar,Jantina,Kod_Negeri_Pelajar,CGPA,GPA,Has_Award,Total_Credit_Taken,Avg_Subjek_Attendance,Avg_Subjek_Marks,Total_Dropped,Total_Failed,Total_Koko,PLO_1,PLO_2,PLO_3,PLO_4,PLO_5,PLO_6,PLO_7,PLO_8,PLO_9,Source_File,Status_Pelajar
333571244428,SLR,4,P,T,2.98,0.0,False,62,89.55172413793103,73.93103448275862,0,0,0,0.0,0.0,0.0,69.72666666666667,76.16666666666667,78.88999933333334,77.5,93.889999,0.0,JJ2025,Bermasalah
333571244457,SLR,4,L,D,2.85,2.48,False,61,88.62068965517241,70.34482758620689,0,0,0,0.0,0.0,0.0,78.33333333333333,75.843333,77.47666666666667,76.639999,93.330002,0.0,JJ2025,Bermasalah
333571244460,SLR,4,P,T,3.0,0.0,False,62,89.65517241379311,74.72413793103448,0,0,0,0.0,0.0,0.0,69.70333366666667,78.83333333333333,79.91666666666667,77.5,92.910004,0.0,JJ2025,Sederhana
333571244473,SLR,4,L,T,3.46,0.0,False,62,89.55172413793103,80.75862068965517,0,0,0,0.0,0.0,0.0,83.209999,87.66666666666667,86.33333333333333,87.5,94.830002,0.0,JJ2025,Sederhana
333571244525,DGA,4,L,D,3.56,3.65,True,63,93.10344827586206,84.62068965517241,0,0,0,68.78809466666667,82.77333346666666,80.2189998,78.2020005,84.79785700000001,80.25,83.27333333333333,80.654999,57.5,JJ2025,Sederhana
333571244541,DGA,4,L,D,3.53,3.5,True,63,93.10344827586206,85.20689655172414,0,0,0,70.78904761904762,82.7603338,79.44999920000001,79.75,84.24642828571429,83.91666666666667,76.30333466666667,73.8499985,86.25,JJ2025,Sederhana
333571244554,DGA,4,L,D,3.53,3.6,True,63,93.10344827586206,84.96551724137932,0,0,0,72.47857119047619,82.10000033333334,80.3659996,78.3919998,85.08285678571428,84.79166666666667,71.24333433333334,73.5649985,85.0,JJ2025,Sederhana
333571244567,DGA,4,L,D,3.75,3.73,True,63,93.10344827586206,87.10344827586206,0,0,0,75.96095204761905,84.65866703333333,82.6230002,82.3490006,88.15142814285716,87.91666666666667,80.87999966666666,80.654999,76.25,JJ2025,Sederhana
333571244570,DGA,4,L,T,3.34,3.5,True,63,93.10344827586206,81.93103448275862,0,0,0,59.897619,81.98999993333334,77.4110011,74.22299960000001,83.01714264285715,77.5,61.87999966666666,75.0200005,80.0,JJ2025,Sederhana
333571244583,DGA,4,L,T,3.48,3.73,True,63,92.93103448275862,84.27586206896552,0,0,0,71.31666633333333,81.9863338,78.51600069999999,72.9399994,81.42642864285713,84.5,81.636668,76.880001,88.75,JJ2025,Sederhana
