Id_Semester,No_Pelajar,Sem_Pelajar,Kod_Subjek,Kod_Ujian,Markah,Peratus,Weighted,Exam_Type
41,"333571240147",2,"MMW20284","LO2P1",66,20,13.2000,"PS"
41,"333571240147",2,"MMW20284","LO1T1",74,10,7.4000,"PS"
41,"333571240147",2,"MMW20294","LO5S1",80,10,8.0000,"PS"
41,"333571240147",2,"MMW20294","LO2P1",70,20,14.0000,"PS"
41,"333571240147",2,"MMW20294","LO1T1",71,10,7.1000,"PS"
41,"333571240147",2,"MMW20304","LO5S1",92,10,9.2000,"PS"
41,"333571240147",2,"MMW20304","LO2P3",84,40,33.6000,"PS"
41,"333571240147",2,"MMW20304","LO2P2",70,20,14.0000,"PS"
41,"333571240147",2,"MMW20304","LO2P1",82,20,16.4000,"PS"
41,"333571240147",2,"MMW20304","LO1T1",72,10,7.2000,"PS"
41,"333571240147",2,"MMW20312","LO1T1",62,10,6.2000,"PS"
41,"333571240147",2,"MMW20312","LO2P1",81.330002,20,16.2700,"PS"
41,"333571240147",2,"MMW20312","LO5S1",94,10,9.4000,"PS"
41,"333571240147",2,"NUK20012","LO8S2",50,70,35.0000,"PS"
41,"333571240147",2,"NUK20012","LO7S1",50.779999,10,5.0800,"PS"
41,"333571240147",2,"NUK20012","LO3T1",61.82,20,12.3600,"PS"
41,"333571240231",2,"MMW20284","LO2P2",86,30,25.8000,"PS"
41,"333571240231",2,"MMW20294","LO2P3",84,30,25.2000,"PS"
41,"333571240147",2,"MMW20312","LO2P3",83.339996,30,25.0000,"PS"
41,"333571240147",2,"MMW20312","LO2P2",85.779999,30,25.7300,"PS"
41,"333571240231",2,"NUE20000","ATTEND",100,100,100.0000,"PS"
41,"333571240231",2,"NUS20000","K1(F)",100,100,100.0000,"PS"
41,"333571240231",2,"MMW20284","LO5S1",84,10,8.4000,"PS"
41,"333571240231",2,"MMW20284","LO2P1",82,20,16.4000,"PS"
41,"333571240231",2,"MMW20284","LO1T1",69,10,6.9000,"PS"
41,"333571240231",2,"MMW20294","LO5S1",84,10,8.4000,"PS"
41,"333571240231",2,"MMW20294","LO2P1",84,20,16.8000,"PS"
41,"333571240231",2,"MMW20294","LO1T1",69,10,6.9000,"PS"
41,"333571240231",2,"MMW20304","LO5S1",92,10,9.2000,"PS"
41,"333571240231",2,"MMW20304","LO2P3",92,40,36.8000,"PS"
41,"333571240231",2,"MMW20304","LO2P2",86,20,17.2000,"PS"
41,"333571240231",2,"MMW20304","LO2P1",88,20,17.6000,"PS"
41,"333571240231",2,"MMW20304","LO1T1",78,10,7.8000,"PS"
41,"333571240231",2,"MMW20312","LO1T1",72,10,7.2000,"PS"
41,"333571240231",2,"MMW20312","LO2P1",90.669998,20,18.1300,"PS"
41,"333571240231",2,"MMW20312","LO5S1",92,10,9.2000,"PS"
41,"333571240231",2,"NUK20012","LO8S2",51.43,70,36.0000,"PS"
41,"333571240231",2,"NUK20012","LO7S1",50.259998,10,5.0300,"PS"
41,"333571240231",2,"MMW20312","LO2P3",85.339996,30,25.6000,"PS"
41,"333571240231",2,"MMW20312","LO2P2",88.889999,30,26.6700,"PS"
41,"333571240231",2,"NUK20012","LO3T1",73.639999,20,14.7300,"PS"
44,"333571245197",3,"DUE10102","LO4S5",93,15,13.9500,"PS"
44,"333571245197",3,"DUE10102","LO4S4",73,15,10.9500,"PS"
44,"333571245197",3,"DUE10102","LO6S3",83,25,20.7500,"PS"
44,"333571245197",3,"DUE10102","LO4S2",75,20,15.0000,"PS"
41,"333571240147",2,"MMW20284","LO2P3",66,30,19.8000,"PS"
41,"333571240147",2,"MMW20294","LO2P2",70,30,21.0000,"PS"
41,"333571240231",2,"MMW20284","LO2P3",86,30,25.8000,"PS"
41,"333571240231",2,"MMW20294","LO2P2",86,30,25.8000,"PS"
41,"333571242815",1,"DUY10021","LO5S1",100,20,20.0000,"PS"
41,"333571242815",1,"DUY10021","LO6S2",60,40,24.0000,"PS"
41,"333571242815",1,"DUY10021","LO6S*",100,20,20.0000,"PS"
41,"333571242815",1,"DUY10021","LO9S4",70,20,14.0000,"PS"
41,"333571244208",1,"DUY10021","LO5S1",100,20,20.0000,"PS"
41,"333571244208",1,"DUY10021","LO6S2",65,40,26.0000,"PS"
41,"333571244208",1,"DUY10021","LO6S*",100,20,20.0000,"PS"
41,"333571244208",1,"DUY10021","LO9S4",63,20,12.6000,"PS"
41,"333571243542",1,"DUY10021","LO5S1",100,20,20.0000,"PS"
44,"333451244386",2,"GVD20024","LO3T1",75.559998,15,11.3300,"PS"
44,"333571244276",2,"GVD20024","LO3T1",66.669998,15,10.0000,"PS"
44,"333571245372",2,"GVD20024","LO3T1",64.440002,15,9.6700,"PS"
44,"333571247153",2,"GVD20024","LO3T1",71.110001,15,10.6700,"PS"
44,"333571247166",2,"GVD20024","LO3T1",62.220001,15,9.3300,"PS"
41,"333571243542",1,"DUY10021","LO6S2",80,40,32.0000,"PS"
44,"333451244386",2,"GVD20043","LO5S1",73.330002,10,7.3300,"PS"
44,"333451244386",2,"GVD20043","LO2P2",86.669998,30,26.0000,"PS"
44,"333451244386",2,"GVD20043","LO2P1",91.669998,40,36.6700,"PS"
44,"333451244386",2,"GVD20052","LO5S1",84,10,8.4000,"PS"
44,"333451244386",2,"GYV20032","LO5S1",66.669998,10,6.6700,"PS"
44,"333451244386",2,"NUE20000","ATTEND",100,100,100.0000,"PS"
44,"333451244386",2,"NUS20000","K1(F)",100,100,100.0000,"PS"
44,"333531249117",4,"DFK40162","LO5S2",100,10,10.0000,"PS"
44,"333531249117",4,"DFK40162","LO4S1",91.669998,30,27.5000,"PS"
44,"333531249117",4,"DFK40162","LO3T1",81.550003,60,48.9300,"PS"
44,"333531249117",4,"DFK40133","LO4S1",100,10,10.0000,"PS"
44,"333571247218",2,"DUY21031","LO5S1",100,20,20.0000,"PS"
44,"333571247218",2,"DUY21031","LO6S2",25,40,10.0000,"PS"
44,"333571247218",2,"DUY21031","LO6S*",100,20,20.0000,"PS"
44,"333571247179",2,"GVD20024","LO3T1",66.669998,15,10.0000,"PS"
44,"333451244386",2,"GVD20034","LO1T1",67.139999,20,13.4300,"PS"
44,"333571244276",2,"GVD20034","LO1T1",65.709999,20,13.1400,"PS"
44,"333571245372",2,"GVD20034","LO1T1",67.139999,20,13.4300,"PS"
44,"333571247153",2,"GVD20034","LO1T1",67.139999,20,13.4300,"PS"
44,"333571247166",2,"GVD20034","LO1T1",64.290001,20,12.8600,"PS"
44,"333451244386",2,"GVD20043","LO1T1",86.910004,20,17.3800,"PS"
44,"333571244276",2,"GVD20043","LO1T1",75.720001,20,15.1400,"PS"
44,"333451244386",2,"GVD20052","LO3T1",81.059998,70,56.7400,"PS"
44,"333571244276",2,"GVD20052","LO3T1",78.029999,70,54.6200,"PS"
44,"333571245372",2,"GVD20052","LO3T1",81.059998,70,56.7400,"PS"
44,"333451244386",2,"GYV20032","LO1T1",70,40,28.0000,"PS"
44,"333451244386",2,"GYV20032","LO3T1",51.82,30,15.5500,"PS"
44,"333571244276",2,"GYV20032","LO3T1",72.269997,30,21.6800,"PS"
41,"333571243542",1,"DUY10021","LO6S*",100,20,20.0000,"PS"
41,"333571243542",1,"DUY10021","LO9S4",95,20,19.0000,"PS"
41,"333571242941",1,"DUY10021","LO5S1",100,20,20.0000,"PS"
41,"333571242941",1,"DUY10021","LO6S2",45,40,18.0000,"PS"
41,"333571242941",1,"DUY10021","LO6S*",100,20,20.0000,"PS"
41,"333571242941",1,"DUY10021","LO9S4",78,20,15.6000,"PS"
41,"333571242844",1,"DUY10021","LO5S1",100,20,20.0000,"PS"
41,"333571242844",1,"DUY10021","LO6S2",45,40,18.0000,"PS"
41,"333571242844",1,"DUY10021","LO6S*",100,20,20.0000,"PS"
41,"333571242844",1,"DUY10021","LO9S4",65,20,13.0000,"PS"
44,"333531249117",4,"DFK40133","LO3T3",88,20,17.6000,"PS"
44,"333531249117",4,"DFK40133","LO2P2",100,30,30.0000,"PS"
44,"333531249117",4,"DFK40133","LO2P1",100,10,10.0000,"PS"
44,"333531249117",4,"DFK40133","LO1T2",87.5,10,8.7500,"PS"
41,"333571242802",1,"DUY10021","LO5S1",100,20,20.0000,"PS"
41,"333571242802",1,"DUY10021","LO6S2",55,40,22.0000,"PS"
41,"333571242802",1,"DUY10021","LO6S*",100,20,20.0000,"PS"
41,"333571242802",1,"NUE10000","ATTEND",100,100,100.0000,"PS"
41,"333571242802",1,"GVD10013","LO6S1",68,10,6.8000,"PS"
41,"333571242802",1,"GVD10013","LO2P3",58.209999,30,17.4600,"PS"
41,"333571242802",1,"GVD10013","LO2P2",70.769997,20,14.1500,"PS"
41,"333571242802",1,"GVD10013","LO2P1",63.080002,20,12.6200,"PS"
